;;;;;;;;;;;;
;ret;Tx;Ty;Tz;dist2mean;;;ret;Tx;Ty;Tz;dist2mean
A07;3.220781592;-218.1;-0.9;-50.68;9.922887763;;A07;3.2;-218.1;-0.9;-50.7;9.9
A10;1.301597118;-217.11;-5.63;-61.08;16.8438231;;A10;1.3;-217.1;-5.6;-61.1;16.8
B07;2.279535449;-211.12;2.34;-45.88;16.09977644;;B07;2.3;-211.1;2.3;-45.9;16.1
B10;0.897273077;-226.6;9.42;-53.43;4.691321942;;B10;0.9;-226.6;9.4;-53.4;4.7
B15;0.989240959;-242.93;8.42;-30.27;27.48166664;;B15;1;-242.9;8.4;-30.3;27.5
C07;0.952856955;-218.84;0.65;-51.03;8.400135509;;C07;1;-218.8;0.7;-51;8.4
C10;1.435220604;-235.07;25.8;-41.44;24.76252111;;C10;1.4;-235.1;25.8;-41.4;24.8
C15;2.408080884;-237.47;1.17;-78.95;29.96590357;;C15;2.4;-237.5;1.2;-79;30
;;;;;;;;;Tx;Ty;Tz;dist2mean
;;;;;;;;Moyenne;-225.9;5.16;-51.6;17.28
;;;;;;;;Ecart Type;11.44;9.64;14.32;9.38
